,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
1,50280,Bose SoundSport Headphones,1,99.99,05/24/19 16:13,"757 14th St, Dallas, TX 75001"
2,50281,Apple Airpods Headphones,1,150.0,05/28/19 21:33,"980 Jackson St, Los Angeles, CA 90001"
3,50282,Google Phone,1,600.0,05/04/19 17:28,"569 Maple St, New York City, NY 10001"
4,50283,Bose SoundSport Headphones,1,99.99,05/16/19 21:47,"702 4th St, Dallas, TX 75001"
5,50284,AA Batteries (4-pack),1,3.84,05/28/19 12:28,"173 Walnut St, New York City, NY 10001"
6,50285,AAA Batteries (4-pack),1,2.99,05/29/19 13:41,"590 6th St, Seattle, WA 98101"
7,50286,Bose SoundSport Headphones,1,99.99,05/20/19 10:50,"856 Sunset St, Dallas, TX 75001"
8,50287,Macbook Pro Laptop,1,1700.0,05/03/19 18:50,"133 12th St, Portland, OR 97035"
9,50288,AAA Batteries (4-pack),1,2.99,05/25/19 14:07,"40 Forest St, Portland, OR 97035"
10,50289,27in FHD Monitor,1,149.99,05/31/19 12:36,"895 Washington St, San Francisco, CA 94016"
11,50290,Bose SoundSport Headphones,1,99.99,05/12/19 08:30,"376 1st St, Seattle, WA 98101"
12,50291,Bose SoundSport Headphones,1,99.99,05/27/19 15:48,"74 13th St, Austin, TX 73301"
13,50292,Bose SoundSport Headphones,1,99.99,05/25/19 13:22,"858 4th St, Los Angeles, CA 90001"
14,50293,Apple Airpods Headphones,1,150.0,05/29/19 19:44,"212 2nd St, Seattle, WA 98101"
15,50294,USB-C Charging Cable,1,11.95,05/22/19 20:04,"840 Adams St, Portland, ME 04101"
16,50295,AA Batteries (4-pack),2,3.84,05/13/19 13:09,"829 Adams St, San Francisco, CA 94016"
17,50296,USB-C Charging Cable,1,11.95,05/13/19 08:27,"184 Sunset St, Los Angeles, CA 90001"
18,50297,Wired Headphones,1,11.99,05/04/19 08:20,"223 Willow St, Seattle, WA 98101"
19,50298,AA Batteries (4-pack),1,3.84,05/30/19 05:36,"625 Hill St, Boston, MA 02215"
20,50299,Flatscreen TV,1,300.0,05/28/19 22:50,"939 Chestnut St, Portland, ME 04101"
21,50300,AAA Batteries (4-pack),1,2.99,05/06/19 12:18,"474 Walnut St, New York City, NY 10001"
22,50301,AAA Batteries (4-pack),1,2.99,05/12/19 13:51,"419 Dogwood St, Los Angeles, CA 90001"
23,50302,AA Batteries (4-pack),1,3.84,05/25/19 10:28,"597 River St, San Francisco, CA 94016"
24,50303,AA Batteries (4-pack),2,3.84,05/08/19 20:14,"153 Elm St, Seattle, WA 98101"
25,50304,Wired Headphones,1,11.99,05/13/19 23:01,"799 6th St, New York City, NY 10001"
26,50305,Google Phone,1,600.0,05/22/19 19:05,"428 Hickory St, San Francisco, CA 94016"
27,50305,USB-C Charging Cable,1,11.95,05/22/19 19:05,"428 Hickory St, San Francisco, CA 94016"
28,50306,Bose SoundSport Headphones,1,99.99,05/29/19 22:08,"273 Hickory St, Los Angeles, CA 90001"
29,50307,Wired Headphones,1,11.99,05/05/19 19:32,"413 9th St, Dallas, TX 75001"
30,50308,Bose SoundSport Headphones,1,99.99,05/02/19 09:33,"198 10th St, New York City, NY 10001"
31,50309,Lightning Charging Cable,1,14.95,05/18/19 20:02,"97 13th St, New York City, NY 10001"
32,50310,20in Monitor,1,109.99,05/22/19 17:48,"411 Park St, Los Angeles, CA 90001"
33,50311,Apple Airpods Headphones,1,150.0,05/30/19 00:23,"932 Spruce St, Seattle, WA 98101"
34,50312,Wired Headphones,1,11.99,05/10/19 19:38,"78 Lake St, San Francisco, CA 94016"
35,50313,Google Phone,1,600.0,05/16/19 06:11,"608 Cedar St, Los Angeles, CA 90001"
36,50313,USB-C Charging Cable,1,11.95,05/16/19 06:11,"608 Cedar St, Los Angeles, CA 90001"
37,50314,34in Ultrawide Monitor,1,379.99,05/30/19 11:42,"30 7th St, Dallas, TX 75001"
38,50315,Apple Airpods Headphones,1,150.0,05/07/19 14:38,"897 Lake St, Austin, TX 73301"
39,50316,Apple Airpods Headphones,1,150.0,05/12/19 20:34,"542 Sunset St, New York City, NY 10001"
40,50317,Bose SoundSport Headphones,1,99.99,05/30/19 16:48,"156 Hickory St, San Francisco, CA 94016"
41,50318,Apple Airpods Headphones,1,150.0,05/25/19 13:41,"450 River St, Austin, TX 73301"
42,50319,iPhone,1,700.0,05/20/19 21:37,"647 Johnson St, Atlanta, GA 30301"
43,50320,Flatscreen TV,1,300.0,05/15/19 00:17,"401 North St, Austin, TX 73301"
44,50321,Wired Headphones,1,11.99,05/20/19 15:28,"983 Cherry St, San Francisco, CA 94016"
45,50322,Google Phone,1,600.0,05/27/19 20:53,"303 West St, Dallas, TX 75001"
46,50323,USB-C Charging Cable,1,11.95,05/25/19 19:56,"331 Cedar St, San Francisco, CA 94016"
47,50324,Lightning Charging Cable,1,14.95,05/21/19 20:10,"665 West St, Boston, MA 02215"
48,50325,USB-C Charging Cable,1,11.95,05/09/19 16:42,"459 South St, New York City, NY 10001"
49,50326,AA Batteries (4-pack),1,3.84,05/21/19 12:20,"98 Hill St, Boston, MA 02215"
50,50327,Bose SoundSport Headphones,2,99.99,05/02/19 19:49,"568 Johnson St, New York City, NY 10001"
51,50328,Flatscreen TV,1,300.0,05/23/19 01:26,"401 Elm St, Dallas, TX 75001"
52,50329,AA Batteries (4-pack),1,3.84,05/24/19 17:00,"617 11th St, Seattle, WA 98101"
53,50330,Apple Airpods Headphones,1,150.0,05/06/19 10:17,"957 North St, Los Angeles, CA 90001"
54,50331,AA Batteries (4-pack),1,3.84,05/05/19 08:51,"490 Jefferson St, Dallas, TX 75001"
55,50332,Wired Headphones,2,11.99,05/21/19 15:56,"283 Hill St, Los Angeles, CA 90001"
56,50333,Bose SoundSport Headphones,1,99.99,05/19/19 11:37,"679 Lakeview St, Los Angeles, CA 90001"
57,50334,Lightning Charging Cable,1,14.95,05/25/19 17:30,"131 Willow St, Portland, OR 97035"
58,50335,Flatscreen TV,1,300.0,05/19/19 07:01,"406 Wilson St, Portland, ME 04101"
59,50336,AA Batteries (4-pack),1,3.84,05/02/19 01:15,"467 2nd St, New York City, NY 10001"
60,50337,Apple Airpods Headphones,1,150.0,05/27/19 11:58,"800 Lakeview St, San Francisco, CA 94016"
61,50338,Apple Airpods Headphones,1,150.0,05/28/19 17:25,"105 Hickory St, San Francisco, CA 94016"
62,50339,Lightning Charging Cable,1,14.95,05/06/19 19:08,"491 Forest St, New York City, NY 10001"
63,50340,Macbook Pro Laptop,1,1700.0,05/25/19 01:28,"945 Ridge St, Los Angeles, CA 90001"
64,50341,AAA Batteries (4-pack),2,2.99,05/06/19 18:12,"923 2nd St, San Francisco, CA 94016"
65,50342,AA Batteries (4-pack),1,3.84,05/23/19 08:18,"437 Center St, Dallas, TX 75001"
66,50343,Lightning Charging Cable,1,14.95,05/31/19 12:56,"109 7th St, Atlanta, GA 30301"
67,50344,34in Ultrawide Monitor,1,379.99,05/13/19 00:15,"833 7th St, Boston, MA 02215"
68,50345,Apple Airpods Headphones,1,150.0,05/06/19 22:00,"919 Madison St, San Francisco, CA 94016"
69,50346,Lightning Charging Cable,1,14.95,05/06/19 11:21,"546 14th St, San Francisco, CA 94016"
70,50347,AA Batteries (4-pack),2,3.84,05/01/19 19:00,"321 5th St, Austin, TX 73301"
71,50348,34in Ultrawide Monitor,1,379.99,05/22/19 20:25,"209 Main St, Seattle, WA 98101"
72,50349,Macbook Pro Laptop,1,1700.0,05/28/19 09:56,"216 Cherry St, Los Angeles, CA 90001"
73,50350,Apple Airpods Headphones,1,150.0,05/07/19 15:52,"938 2nd St, Seattle, WA 98101"
74,50351,Wired Headphones,1,11.99,05/12/19 14:15,"811 Forest St, Los Angeles, CA 90001"
75,50352,AAA Batteries (4-pack),1,2.99,05/13/19 21:25,"974 Lake St, Boston, MA 02215"
76,50353,iPhone,1,700.0,05/30/19 22:44,"705 11th St, San Francisco, CA 94016"
77,50354,34in Ultrawide Monitor,1,379.99,06/01/19 04:32,"921 Meadow St, Dallas, TX 75001"
78,50355,Apple Airpods Headphones,1,150.0,05/20/19 20:17,"658 10th St, San Francisco, CA 94016"
79,50356,34in Ultrawide Monitor,1,379.99,05/05/19 01:34,"62 Washington St, Austin, TX 73301"
80,50357,USB-C Charging Cable,1,11.95,05/21/19 21:01,"704 Walnut St, Dallas, TX 75001"
81,50358,AAA Batteries (4-pack),1,2.99,05/28/19 21:35,"832 6th St, San Francisco, CA 94016"
82,50359,Apple Airpods Headphones,1,150.0,05/08/19 13:52,"96 Sunset St, San Francisco, CA 94016"
83,50360,AAA Batteries (4-pack),1,2.99,05/27/19 11:12,"777 2nd St, Portland, OR 97035"
84,50361,34in Ultrawide Monitor,1,379.99,05/09/19 14:03,"314 9th St, Seattle, WA 98101"
85,50362,Flatscreen TV,1,300.0,05/10/19 22:23,"852 Main St, Boston, MA 02215"
86,50363,AA Batteries (4-pack),2,3.84,05/07/19 10:25,"406 Cedar St, New York City, NY 10001"
87,50364,AA Batteries (4-pack),3,3.84,05/15/19 20:34,"647 12th St, New York City, NY 10001"
88,50365,Lightning Charging Cable,1,14.95,05/03/19 23:44,"55 Dogwood St, Portland, OR 97035"
89,50366,AA Batteries (4-pack),2,3.84,05/02/19 14:03,"3 Dogwood St, Los Angeles, CA 90001"
90,50367,AAA Batteries (4-pack),2,2.99,05/22/19 19:54,"820 Sunset St, Los Angeles, CA 90001"
91,50368,27in FHD Monitor,1,149.99,05/08/19 16:56,"277 Madison St, Dallas, TX 75001"
92,50369,Lightning Charging Cable,1,14.95,05/05/19 15:27,"328 Wilson St, Seattle, WA 98101"
93,50370,AAA Batteries (4-pack),1,2.99,05/02/19 16:57,"871 West St, Los Angeles, CA 90001"
94,50371,Bose SoundSport Headphones,1,99.99,05/14/19 06:29,"345 4th St, Los Angeles, CA 90001"
95,50372,27in 4K Gaming Monitor,1,389.99,05/15/19 14:22,"235 Forest St, Boston, MA 02215"
96,50373,Apple Airpods Headphones,1,150.0,05/21/19 13:33,"767 Jefferson St, New York City, NY 10001"
97,50374,34in Ultrawide Monitor,1,379.99,05/03/19 20:57,"400 Hickory St, San Francisco, CA 94016"
98,50375,AAA Batteries (4-pack),1,2.99,05/09/19 19:10,"97 Sunset St, San Francisco, CA 94016"
99,50376,USB-C Charging Cable,1,11.95,05/22/19 08:37,"485 1st St, Austin, TX 73301"
100,50377,AAA Batteries (4-pack),1,2.99,05/19/19 06:59,"340 Dogwood St, Dallas, TX 75001"
101,50378,AA Batteries (4-pack),3,3.84,05/08/19 23:55,"23 Lincoln St, Los Angeles, CA 90001"
102,50379,Wired Headphones,1,11.99,05/23/19 16:19,"157 Johnson St, Boston, MA 02215"
103,50380,AA Batteries (4-pack),1,3.84,05/15/19 13:17,"392 Maple St, Dallas, TX 75001"
104,50381,AAA Batteries (4-pack),1,2.99,05/11/19 13:13,"95 Main St, Dallas, TX 75001"
105,50382,Flatscreen TV,1,300.0,05/24/19 19:04,"851 Lincoln St, Austin, TX 73301"
106,50383,AA Batteries (4-pack),1,3.84,05/06/19 15:16,"884 River St, San Francisco, CA 94016"
107,50384,iPhone,1,700.0,05/02/19 15:43,"89 Wilson St, Los Angeles, CA 90001"
108,50385,34in Ultrawide Monitor,1,379.99,05/11/19 18:31,"24 Washington St, San Francisco, CA 94016"
109,50386,AAA Batteries (4-pack),2,2.99,05/03/19 15:12,"768 Spruce St, New York City, NY 10001"
110,50387,AAA Batteries (4-pack),1,2.99,05/11/19 09:39,"781 Jefferson St, Austin, TX 73301"
111,50388,Bose SoundSport Headphones,1,99.99,05/24/19 08:40,"875 Wilson St, Boston, MA 02215"
112,50389,Bose SoundSport Headphones,1,99.99,05/09/19 01:16,"42 Dogwood St, Portland, OR 97035"
113,50390,iPhone,1,700.0,05/14/19 10:51,"285 10th St, New York City, NY 10001"
114,50390,Lightning Charging Cable,1,14.95,05/14/19 10:51,"285 10th St, New York City, NY 10001"
115,50390,Apple Airpods Headphones,1,150.0,05/14/19 10:51,"285 10th St, New York City, NY 10001"
116,50391,USB-C Charging Cable,1,11.95,05/17/19 21:39,"972 9th St, Portland, OR 97035"
117,50392,Wired Headphones,2,11.99,05/05/19 07:55,"859 Center St, Los Angeles, CA 90001"
118,50393,AA Batteries (4-pack),1,3.84,05/04/19 21:39,"738 Willow St, San Francisco, CA 94016"
119,50394,ThinkPad Laptop,1,999.99,05/05/19 14:29,"893 Washington St, San Francisco, CA 94016"
120,50395,AA Batteries (4-pack),2,3.84,05/03/19 17:50,"856 Ridge St, Austin, TX 73301"
121,50396,USB-C Charging Cable,1,11.95,05/04/19 10:27,"281 Pine St, Dallas, TX 75001"
122,50397,AA Batteries (4-pack),1,3.84,05/12/19 21:05,"364 Hill St, Los Angeles, CA 90001"
123,50398,AA Batteries (4-pack),2,3.84,05/05/19 09:15,"929 Walnut St, New York City, NY 10001"
124,50399,Lightning Charging Cable,1,14.95,05/08/19 17:41,"964 Meadow St, San Francisco, CA 94016"
